,date,value,SMA,WMA,EMA
6545,1991-07-02,5.93,5.9435,5.937619047619047,5.91741364980728
6546,1991-07-03,5.94,5.944,5.937285714285714,5.919564730778015
6547,1991-07-04,5.94,5.944000000000001,5.936904761904762,5.9215109468943945
6548,1991-07-05,5.94,5.9435,5.936523809523809,5.923271809094929
6549,1991-07-08,5.94,5.943,5.936190476190475,5.924864970133506
6550,1991-07-09,5.94,5.9415,5.935904761904761,5.926306401549363
6551,1991-07-10,5.93,5.938000000000001,5.934809523809523,5.926658172830376
6552,1991-07-11,5.91,5.9335,5.932142857142857,5.925071680179864
6553,1991-07-12,5.88,5.9295,5.927047619047619,5.920779139210354
6554,1991-07-15,5.89,5.9275,5.923285714285714,5.9178477926188915
6555,1991-07-16,5.9,5.925,5.920666666666667,5.916148002845664
6556,1991-07-17,5.91,5.9245,5.919238095238095,5.915562478765124
6557,1991-07-18,5.91,5.925,5.917857142857144,5.915032718882731
6558,1991-07-19,5.87,5.922,5.912619047619049,5.910743888512947
6559,1991-07-22,5.85,5.9174999999999995,5.9057619047619045,5.9049587562736185
6560,1991-07-23,5.85,5.9125,5.899333333333333,5.899724589009464
6561,1991-07-24,5.83,5.9065,5.891476190476189,5.893084151960944
6562,1991-07-25,5.82,5.9,5.883238095238095,5.886123756536092
6563,1991-07-26,5.82,5.8955,5.875619047619048,5.879826255913607
6564,1991-07-29,5.84,5.892,5.870333333333333,5.87603327915993
6565,1991-07-30,5.85,5.888,5.866333333333333,5.873553919239937
6566,1991-07-31,5.83,5.8825,5.8608095238095235,5.869405926931371
6567,1991-08-01,5.8,5.8755,5.85295238095238,5.862795838652193
6568,1991-08-02,5.69,5.8629999999999995,5.835285714285715,5.846339092113889
6569,1991-08-05,5.7,5.851,5.819761904761905,5.83240203572209
6570,1991-08-06,5.57,5.8325000000000005,5.793,5.80741136565332
6571,1991-08-07,5.52,5.811999999999999,5.763238095238096,5.780038854638718
6572,1991-08-08,5.5,5.7915,5.73352380952381,5.753368487530269
6573,1991-08-09,5.52,5.7735,5.707666666666667,5.731142917289291
6574,1991-08-12,5.52,5.755,5.683523809523811,5.711034068023643
6575,1991-08-13,5.52,5.736,5.661142857142858,5.692840347259487
6576,1991-08-14,5.5,5.7155000000000005,5.638666666666667,5.674474599901441
6577,1991-08-15,5.5,5.695,5.618142857142857,5.6578579713394
6578,1991-08-16,5.48,5.6754999999999995,5.597666666666667,5.640919116926124
6579,1991-08-19,5.48,5.657,5.579047619047619,5.625593486742684
6580,1991-08-20,5.45,5.637,5.559333333333334,5.608870297529095
6581,1991-08-21,5.48,5.6195,5.544380952380952,5.596596935859657
